breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,grooming_frequency_value_seidr,shedding_value_seidr,energy_level_value_seidr,trainability_value_seidr,demeanor_value_seidr,puntuacion_asistencia,url_imagen,caracter
Swedish Vallhund,"Friendly, Energetic, Watchful",169,29.21,34.925,9.0718474,15.875732950000002,12.0,15.0,Herding Group,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly,1.0,3.0,5,5,4,4.2,iconografia/razas/swedish_vallhund.jpg,"Amigable, enérgico y vigilante. Es el corgi vikingo: activo, alegre y siempre de buen humor. Con su familia es muy cariñoso."
Taiwan Dog,"Loyal, Versatile, Intelligent",,43.18,50.8,11.79340162,18.1436948,9.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.8,Easy Training,0.4,Reserved with Strangers,2.0,3.0,5,4,2,3.0000000000000004,iconografia/razas/taiwan_dog.jpg,"Leal, versátil e inteligente. Es un perro primitivo taiwanés activo y equilibrado. Con su familia es muy devoto."
Teddy Roosevelt Terrier,"Playful, Versatile, Intelligent",,20.32,38.1,3.62873896,11.33980925,14.0,16.0,Miscellaneous Class,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.8,Friendly,2.0,3.0,4,5,4,4.4,iconografia/razas/teddy_roosevelt_terrier.jpg,"Juguetón, versátil e inteligente. Es un terrier americano activo y cariñoso. Con su familia es muy afectuoso y siempre dispuesto a jugar."
Thai Ridgeback,"Loyal, Independent, Agile",,50.8,60.96,15.875732950000002,34.01942775,12.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,1.0,3.0,4,2,2,2.4000000000000004,iconografia/razas/thai_ridgeback.jpg,"Leal, independiente y ágil. Es un perro primitivo tailandés activo y elegante. Con su familia es muy cariñoso aunque reservado con extraños."
Tibetan Mastiff,"Independent, Reserved, Intelligent",131,60.96,66.04,31.751465900000003,68.0388555,10.0,12.0,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,3.0,3.0,3,2,3,3.0,iconografia/razas/tibetan_mastiff.jpg,"Independiente, reservado e inteligente. Es un guardián del Himalaya: serio, leal y muy devoto con su familia. Necesita un dueño con experiencia."
Tibetan Spaniel,"Playful, Bright, Self-Confident",119,25.4,25.4,4.082331330000001,6.80388555,12.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.4,Calm,0.6,Agreeable,0.6,Alert/Responsive,2.0,3.0,2,3,3,3.2,iconografia/razas/tibetan_spaniel.jpg,"Juguetón, brillante y seguro de sí mismo. Es un perro monasterio tibetano: activo, alerta y muy cariñoso con su familia."
Tibetan Terrier,"Affectionate, Loyal, Sensitive",96,35.56,43.18,8.164662660000001,13.6077711,15.0,16.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,3.0,3.0,4,2,2,2.4000000000000004,iconografia/razas/tibetan_terrier.jpg,"Cariñoso, leal y sensible. El perro de la buena suerte tibetano: activo, expresivo y muy devoto con su familia."
Tornjak,"Friendly, Courageous, Intelligent",,58.42,71.12,28.12272694,49.895160700000005,12.0,14.0,Foundation Stock Service,,,,,0.6,,0.8,Easy Training,0.6,Alert/Responsive,,,3,4,3,3.8,iconografia/razas/tornjak.jpg,"Amigable, valiente e inteligente. Es un guardián balcánico equilibrado y leal. Con su familia es muy cariñoso y protector."
Tosa,"Fearless, Patient, Vigilant",,54.61,59.69,45.359237,90.718474,10.0,12.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.4,Calm,0.6,Agreeable,0.4,Reserved with Strangers,1.0,2.0,2,3,2,2.8,iconografia/razas/tosa.jpg,"Valiente, paciente y vigilante. Es el mastín japonés: tranquilo, leal y muy devoto con su familia. Necesita un dueño con mucha experiencia."
Toy Fox Terrier,"Friendly, Alert, Intelligent",111,21.59,29.21,1.587573295,3.17514659,13.0,15.0,Toy Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,1.0,Eager to Please,0.8,Friendly,2.0,2.0,4,5,4,4.4,iconografia/razas/toy_fox_terrier.jpg,"Amigable, alerta e inteligente. Es el fox terrier en miniatura: activo, curioso y muy cariñoso con su familia."
Transylvanian Hound,"Courageous, Good-Natured, Determined",,55.88,66.04,24.947580350000003,24.947580350000003,10.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,,,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.6,,2.0,,5,1,3,2.2,iconografia/razas/transylvanian_hound.jpg,"Valiente, de buen carácter y determinado. Es un sabueso húngaro activo y equilibrado. Con su familia es muy cariñoso."
Treeing Tennessee Brindle,"Friendly, Alert, Intelligent",,40.64,60.96,13.6077711,22.6796185,10.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,,0.6,,2.0,2.0,3,3,3,3.4000000000000004,iconografia/razas/treeing_tennessee_brindle.jpg,"Amigable, alerta e inteligente. Es un rastreador americano activo y leal. Con su familia es muy cariñoso."
Treeing Walker Coonhound,"Smart, Brave, Courteous",137,50.8,68.58,22.6796185,31.751465900000003,12.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.8,Friendly,1.0,3.0,3,2,4,3.4000000000000004,iconografia/razas/treeing_walker_coonhound.jpg,"Inteligente, valiente y educado. Es un rastreador americano activo y equilibrado. Con su familia es muy cariñoso."
Vizsla,"Affectionate, Gentle, Energetic",31,53.34,60.96,19.95806428,27.2155422,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.8,Friendly,2.0,3.0,4,5,4,4.4,iconografia/razas/vizsla.jpg,"Cariñoso, gentil y enérgico. El 'perro de oro' húngaro: activo, leal y siempre pegado a su dueño. Necesita mucho ejercicio y compañía."
Weimaraner,"Friendly, Fearless, Obedient",36,58.42,68.58,24.947580350000003,40.8233133,10.0,13.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly,2.0,3.0,5,5,4,4.2,iconografia/razas/weimaraner.jpg,"Amigable, valiente y obediente. El 'fantasma plateado': activo, inteligente y muy devoto con su familia. Necesita mucho ejercicio."
Welsh Springer Spaniel,"Happy, Reserved, Upbeat",128,43.18,48.26,15.875732950000002,24.947580350000003,12.0,15.0,Sporting Group,0.4,Weekly Brushing,,,0.8,Energetic,0.8,Easy Training,0.8,Friendly,2.0,,4,4,4,4.0,iconografia/razas/welsh_springer_spaniel.jpg,"Alegre, reservado al principio y optimista. Es un spaniel activo y afectuoso. Con su familia es muy cariñoso aunque tardará en abrirse con extraños."
Welsh Terrier,"Friendly, Spirited, Intelligent",107,38.1,38.1,9.0718474,9.0718474,12.0,15.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.8,Energetic,0.6,Agreeable,1.0,Outgoing,3.0,2.0,4,3,5,4.0,iconografia/razas/welsh_terrier.jpg,"Amigable, lleno de energía e inteligente. Es un terrier galés activo y equilibrado. Con su familia es muy cariñoso."
West Highland White Terrier,"Loyal, Happy, Entertaining",42,25.4,27.94,6.80388555,9.0718474,13.0,15.0,Terrier Group,0.8,Daily Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,4.0,3.0,3,3,4,3.8,iconografia/razas/west_highland_white_terrier.jpg,"Leal, feliz y divertido. El Westie es uno de los terriers más populares: activo, alegre y muy cariñoso con su familia."
Wetterhoun,"Loyal, Good-Natured, Intelligent",,12.7,58.42,22.6796185,34.01942775,13.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers,1.0,2.0,3,1,2,2.2,iconografia/razas/wetterhoun.jpg,"Leal, de buen carácter e inteligente. Es un spaniel de agua holandés equilibrado y afectuoso. Con su familia es muy cariñoso."
Whippet,"Affectionate, Playful, Calm",61,45.72,55.88,11.33980925,18.1436948,12.0,15.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,1.0,2.0,3,2,2,2.6,iconografia/razas/whippet.jpg,"Cariñoso, juguetón y tranquilo. Es el lebrel en tamaño medio: elegante, activo y muy devoto con su familia. En casa es un sofá andante."
Wire Fox Terrier,"Confident, Alert, Gregarious",101,38.1,38.1,6.80388555,8.164662660000001,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,2.0,1.0,3,3,3,3.4000000000000004,iconografia/razas/wire_fox_terrier.jpg,"Seguro, alerta y sociable. Es el fox terrier de pelo duro: activo, curioso y siempre dispuesto a la aventura. Con su familia es muy cariñoso."
Wirehaired Pointing Griffon,"Friendly, Devoted, Trainable",65,50.8,60.96,15.875732950000002,31.751465900000003,12.0,15.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.6,Alert/Responsive,2.0,3.0,5,3,3,3.0000000000000004,iconografia/razas/wirehaired_pointing_griffon.jpg,"Amigable, devoto y entrenable. Es un perro de caza francés activo y equilibrado. Con su familia es muy cariñoso."
Wirehaired Vizsla,"Gentle, Loyal, Trainable",167,54.61,63.5,20.41165665,29.48350405,12.0,14.0,Sporting Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,1.0,3.0,4,3,3,3.2,iconografia/razas/wirehaired_vizsla.jpg,"Gentil, leal y entrenable. Es la versión de pelo duro del vizsla húngaro: activo, cariñoso y muy devoto con su familia."
Working Kelpie,"Alert, Eager, Intelligent",,48.26,63.5,12.70058636,27.2155422,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive,1.0,3.0,4,2,3,2.8,iconografia/razas/working_kelpie.jpg,"Alerta, entusiasta e inteligente. Es el kelpie de trabajo australiano: incansable, leal y muy activo. Necesita una tarea para estar equilibrado."
Xoloitzcuintli,"Loyal, Alert, Calm",140,25.4,58.42,4.535923700000001,24.947580350000003,13.0,18.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,1.0,1.0,4,3,3,3.2,iconografia/razas/xoloitzcuintli.jpg,"Leal, alerta y tranquilo. El perro sin pelo mexicano es uno de los más antiguos del mundo. Con su familia es muy cariñoso y devoto."
Yakutian Laika,"Affectionate, Intelligent, Active",,53.34,58.42,18.1436948,24.947580350000003,10.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.2,May be Stubborn,0.4,Reserved with Strangers,2.0,3.0,4,1,2,2.0,iconografia/razas/yakutian_laika.jpg,"Cariñoso, inteligente y activo. Es un spitz de Siberia equilibrado y afectuoso. Con su familia es muy cariñoso y necesita ejercicio regular."
Yorkshire Terrier,"Affectionate, Sprightly, Tomboyish",10,17.78,20.32,3.17514659,3.17514659,11.0,15.0,Toy Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,0.2,May be Stubborn,0.8,Friendly,5.0,1.0,3,1,4,3.0,iconografia/razas/yorkshire_terrier.jpg,"Cariñoso, lleno de energía y con mucho carácter. El Yorkie es pequeño pero con una personalidad enorme. Con su familia es muy devoto."
